Ciclo,Peor aptitud,Aptitud promedio,Mejor aptitud,Diversidad
0,0,"0,042",2,0
1,0,"0,084",2,"0,001"
2,0,"0,337",4,"0,002"
3,0,"0,905",4,"0,006"
4,0,"1,653",4,"0,015"
5,0,"2,347",6,"0,024"
6,0,"3,053",6,"0,029"
7,2,"3,947",8,"0,03"
8,2,"4,579",8,"0,03"
9,4,"5,6",8,"0,029"
10,4,"6,505",10,"0,027"
11,4,"7,284",12,"0,028"
12,6,"8,189",12,"0,029"
13,6,"8,979",12,"0,031"
14,8,"10,095",12,"0,036"
15,6,"11,221",14,"0,043"
16,10,"12,232",16,"0,048"
17,8,"12,979",16,"0,047"
18,8,"13,989",18,"0,052"
19,12,15,20,"0,057"
20,12,"16,253",20,"0,061"
21,14,"17,305",20,"0,072"
22,14,"18,526",22,"0,078"
23,16,"19,716",24,"0,077"
24,16,"20,663",24,"0,081"
25,18,"21,821",26,"0,082"
26,18,"22,937",28,"0,073"
27,20,"24,032",28,"0,076"
28,20,"25,337",30,"0,084"
29,22,"26,621",32,"0,096"
30,22,"28,211",32,"0,103"
31,22,"29,6",34,"0,107"
32,26,"30,979",36,"0,107"
33,28,"32,337",40,"0,1"
34,28,"33,632",40,"0,09"
35,32,"35,126",42,"0,091"
36,32,"36,695",42,"0,096"
37,32,"38,737",44,"0,097"
38,36,"40,368",44,"0,093"
39,36,"41,768",46,"0,092"
40,38,"42,989",46,"0,087"
41,40,"44,221",48,"0,085"
42,40,"45,379",50,"0,085"
43,44,"46,432",50,"0,084"
44,44,"47,484",50,"0,078"
45,44,"48,653",52,"0,083"
46,46,"49,695",54,"0,087"
47,46,"50,747",54,"0,089"
48,48,"51,947",56,"0,08"
49,50,"53,168",58,"0,077"
50,52,"54,179",58,"0,069"
51,52,"55,158",58,"0,063"
52,54,"56,211",60,"0,067"
53,54,"57,2",60,"0,064"
54,54,"58,168",62,"0,057"
55,56,"58,947",62,"0,051"
56,56,"59,716",62,"0,05"
57,58,"60,695",64,"0,046"
58,60,"61,621",64,"0,033"
59,60,"62,2",66,"0,021"
60,60,"62,821",66,"0,017"
61,60,"63,632",68,"0,028"
62,62,"64,853",68,"0,04"
63,62,"65,821",70,"0,052"
64,62,"66,937",70,"0,059"
65,64,"67,989",70,"0,063"
66,64,"68,979",74,"0,07"
67,66,"69,958",74,"0,074"
68,66,"70,695",76,"0,073"
69,68,"72,011",78,"0,081"
70,68,"73,211",78,"0,081"
71,68,"74,358",80,"0,084"
72,72,"75,716",80,"0,08"
73,72,"77,2",82,"0,076"
74,74,"78,916",84,"0,078"
75,76,"80,053",86,"0,082"
76,76,"81,4",88,"0,077"
77,78,"82,895",88,"0,071"
78,80,"84,368",88,"0,062"
79,82,"85,579",88,"0,045"
80,84,"86,568",90,"0,032"
81,84,"87,516",90,"0,026"
82,86,"88,474",92,"0,031"
83,88,"89,4",92,"0,028"
84,88,"90,042",92,"0,022"
85,88,"90,242",92,"0,021"
86,88,"90,611",94,"0,023"
87,88,"91,411",94,"0,025"
88,90,"92,484",96,"0,029"
89,90,"93,716",98,"0,033"
90,92,"94,663",98,"0,036"
91,92,"95,621",100,"0,037"
Promedio,"43,239","46,876","50,717","0,058"
