Ciclo,Peor aptitud,Aptitud promedio,Mejor aptitud,Diversidad
0,44,"53,989",67,"0,994"
1,50,"57,858",67,"0,981"
2,53,"60,895",69,"0,935"
3,53,"63,311",71,"0,853"
4,60,"65,053",71,"0,78"
5,61,"67,158",72,"0,732"
6,63,"69,042",72,"0,616"
7,66,"70,211",73,"0,472"
8,67,"71,263",74,"0,409"
9,69,"72,126",76,"0,392"
10,70,"73,032",76,"0,372"
11,70,"73,816",77,"0,379"
12,71,"74,742",80,"0,389"
13,72,"75,689",79,"0,381"
14,73,"76,616",80,"0,374"
15,75,"77,6",81,"0,352"
16,75,"78,589",82,"0,323"
17,77,"79,589",84,"0,3"
18,78,"80,763",85,"0,268"
19,78,"81,595",86,"0,24"
20,79,"82,458",86,"0,227"
21,81,"83,379",87,"0,216"
22,81,"84,368",87,"0,188"
23,82,"85,4",88,"0,15"
24,84,"86,111",89,"0,079"
25,85,"86,689",89,"0,052"
26,85,"87,384",89,"0,058"
27,86,"87,979",90,"0,055"
28,87,"88,458",91,"0,048"
29,87,"88,895",91,"0,043"
30,87,"89,374",91,"0,039"
31,87,"89,842",91,"0,04"
32,89,"90,563",92,"0,041"
33,89,"90,916",92,"0,032"
34,90,"91,179",93,"0,025"
35,90,"91,547",93,"0,03"
36,90,"91,932",93,"0,032"
37,90,"92,174",93,"0,03"
38,91,"92,505",94,"0,026"
39,91,"92,916",94,"0,019"
40,91,"93,089",94,"0,008"
41,92,"93,332",95,"0,009"
42,92,"93,721",95,"0,014"
43,92,"94,026",95,"0,022"
44,92,"94,221",95,"0,027"
45,93,"94,6",96,"0,029"
46,94,"94,905",96,"0,028"
47,94,"95,111",96,"0,023"
48,94,"95,347",97,"0,017"
49,94,"95,632",97,"0,018"
50,94,"95,926",97,"0,015"
51,95,"96,074",98,"0,009"
52,95,"96,3",98,"0,007"
53,95,"96,668",98,"0,013"
54,95,"97,174",98,"0,021"
55,96,"97,558",98,"0,022"
56,96,"97,905",98,"0,015"
57,97,"97,953",98,"0,004"
58,97,"97,958",99,"0,002"
59,96,"97,968",99,"0,002"
60,97,"97,979",99,"0,003"
61,97,"98,089",99,"0,004"
62,97,"98,316",99,"0,008"
63,97,"98,674",100,"0,014"
Promedio,"83,250","86,024","88,578","0,192"
