Ciclo,Peor aptitud,Aptitud promedio,Mejor aptitud,Diversidad
0,0,"0,074",2,0
1,0,"0,263",4,"0,001"
2,0,"0,811",6,"0,005"
3,0,"1,853",6,"0,016"
4,0,"3,326",8,"0,034"
5,2,"4,558",10,"0,057"
6,0,"5,947",10,"0,075"
7,2,"7,695",16,"0,092"
8,4,"9,095",14,"0,109"
9,6,"10,474",14,"0,12"
10,6,"11,937",16,"0,133"
11,8,"13,526",18,"0,14"
12,10,"15,105",20,"0,145"
13,12,"16,611",22,"0,15"
14,14,"18,495",22,"0,157"
15,16,"20,074",24,"0,16"
16,16,"21,611",26,"0,156"
17,18,"23,126",28,"0,158"
18,20,"24,358",30,"0,18"
19,22,"25,884",32,"0,189"
20,22,"27,442",32,"0,2"
21,22,"29,105",36,"0,216"
22,26,"30,842",36,"0,218"
23,26,"32,842",38,"0,215"
24,30,"34,958",40,"0,221"
25,30,"36,832",44,"0,222"
26,32,"38,821",44,"0,215"
27,36,"40,632",46,"0,196"
28,36,"42,337",46,"0,186"
29,38,"43,874",50,"0,189"
30,38,"45,526",52,"0,181"
31,40,"47,453",52,"0,184"
32,42,"49,347",54,"0,175"
33,46,"51,063",56,"0,158"
34,48,"52,305",58,"0,139"
35,48,"53,674",60,"0,135"
36,50,"55,389",62,"0,133"
37,50,"57,411",62,"0,136"
38,54,"59,547",64,"0,137"
39,56,"61,358",66,"0,128"
40,56,"62,947",68,"0,139"
41,60,"64,326",70,"0,132"
42,62,"65,874",72,"0,121"
43,60,"67,474",74,"0,147"
44,62,"68,958",76,"0,173"
45,66,"70,853",78,"0,187"
46,64,"72,789",80,"0,178"
47,68,"75,063",80,"0,153"
48,70,"76,926",84,"0,13"
49,74,"78,821",86,"0,117"
50,76,"80,663",86,"0,108"
51,78,"82,179",86,"0,107"
52,80,"83,684",88,"0,1"
53,82,"84,821",90,"0,093"
54,82,"85,905",90,"0,087"
55,82,"87,042",92,"0,099"
56,84,"88,284",94,"0,101"
57,84,"89,389",94,"0,1"
58,86,"90,716",96,"0,101"
59,86,"92,274",96,"0,097"
60,90,"93,6",98,"0,082"
61,90,"94,589",98,"0,071"
62,90,"95,589",100,"0,056"
Promedio,"42,190","47,275","52,413","0,132"
