Ciclo,Peor aptitud,Aptitud promedio,Mejor aptitud,Diversidad
0,0,"0,232",2,0
1,0,"0,926",4,"0,005"
2,0,"2,126",6,"0,018"
3,0,"3,253",8,"0,041"
4,2,"4,779",10,"0,061"
5,2,"6,274",14,"0,087"
6,4,"8,126",14,"0,109"
7,6,"9,821",16,"0,132"
8,6,"11,895",18,"0,156"
9,10,"13,926",20,"0,184"
10,8,"16,137",24,"0,206"
11,10,"18,158",24,"0,229"
12,14,"20,032",28,"0,245"
13,16,"22,126",30,"0,249"
14,18,"24,105",30,"0,257"
15,22,"25,916",34,"0,265"
16,22,"28,084",36,"0,269"
17,24,"30,347",38,"0,273"
18,26,"32,884",40,"0,269"
19,28,"35,421",42,"0,26"
20,32,"37,811",44,"0,191"
21,34,"39,8",46,"0,128"
22,36,"42,126",48,"0,139"
23,38,"44,063",50,"0,103"
24,40,"45,6",52,"0,096"
25,42,"47,337",52,"0,101"
26,44,"48,811",56,"0,115"
27,44,"50,442",58,"0,127"
28,46,"52,305",58,"0,136"
29,48,"54,126",62,"0,139"
30,50,"56,053",62,"0,144"
31,50,"58,011",64,"0,154"
32,54,"59,832",66,"0,163"
33,56,"61,695",68,"0,162"
34,58,"63,379",68,"0,153"
35,60,"65,284",70,"0,149"
36,62,"67,042",74,"0,158"
37,64,"68,621",74,"0,175"
38,64,"70,137",76,"0,179"
39,66,"71,8",78,"0,187"
40,68,"73,432",80,"0,2"
41,68,"75,116",84,"0,202"
42,70,"77,2",86,"0,194"
43,68,"79,674",86,"0,194"
44,76,"82,105",88,"0,197"
45,78,"84,179",90,"0,194"
46,80,"86,337",92,"0,197"
47,80,"87,8",94,"0,189"
48,84,"89,168",94,"0,188"
49,86,"90,663",98,"0,196"
50,88,"92,063",100,"0,195"
Promedio,"40,235","45,815","52,078","0,164"
