Ciclo,Peor aptitud,Aptitud promedio,Mejor aptitud,Diversidad
0,0,"0,147",2,0
1,0,"0,516",4,"0,003"
2,0,"1,4",4,"0,01"
3,0,"2,358",6,"0,027"
4,0,"3,568",8,"0,044"
5,0,"4,758",8,"0,063"
6,2,"6,126",12,"0,081"
7,4,"7,737",14,"0,102"
8,4,"9,463",14,"0,121"
9,4,"11,421",16,"0,148"
10,6,"13,042",20,"0,175"
11,8,"14,832",22,"0,191"
12,12,"16,611",24,"0,194"
13,12,"17,905",24,"0,192"
14,14,"19,884",26,"0,201"
15,14,"21,853",30,"0,223"
16,18,"24,147",30,"0,24"
17,20,"26,421",32,"0,235"
18,22,"28,726",34,"0,222"
19,20,"30,505",36,"0,226"
20,28,"31,968",38,"0,205"
21,28,"33,653",40,"0,196"
22,30,"35,621",40,"0,193"
23,32,"37,147",40,"0,192"
24,34,"38,474",42,"0,191"
25,34,"39,663",46,"0,185"
26,38,"41,263",46,"0,188"
27,38,"42,779",50,"0,205"
28,40,"44,474",50,"0,214"
29,42,"46,179",52,"0,212"
30,42,"48,063",54,"0,2"
31,44,"49,968",56,"0,2"
32,44,"51,716",58,"0,197"
33,50,"53,558",60,"0,181"
34,48,"55,242",62,"0,187"
35,50,"57,126",62,"0,204"
36,54,"58,611",66,"0,218"
37,54,"60,463",68,"0,224"
38,58,"62,032",70,"0,236"
39,58,"63,653",70,"0,248"
40,60,"65,937",72,"0,249"
41,62,"68,074",72,"0,239"
42,66,"69,568",74,"0,226"
43,68,"70,937",76,"0,191"
44,68,"72,484",76,"0,166"
45,70,"73,884",80,"0,144"
46,72,"75,316",80,"0,142"
47,74,"76,737",80,"0,14"
48,74,"78,063",82,"0,131"
49,74,"79,747",84,"0,136"
50,76,"81,011",84,"0,134"
51,78,"82,126",88,"0,131"
52,80,"83,526",88,"0,143"
53,78,"84,789",90,"0,166"
54,80,"86,453",92,"0,179"
55,82,"88,074",94,"0,193"
56,86,"89,611",94,"0,202"
57,84,"91,147",98,"0,205"
58,86,"92,6",100,"0,205"
Promedio,"41,085","46,155","51,525","0,171"
