Ciclo,Peor aptitud,Aptitud promedio,Mejor aptitud,Diversidad
0,42,54.326,69,0.995
1,48,57.795,70,0.978
2,54,61.053,70,0.952
3,55,63.732,76,0.9
4,57,66.411,78,0.833
5,63,69.132,78,0.773
6,63,71.632,79,0.702
7,69,74.111,80,0.615
8,68,75.789,82,0.507
9,71,77.789,84,0.409
10,75,79.721,85,0.312
11,78,81.253,86,0.227
12,79,82.542,86,0.156
13,81,83.626,87,0.12
14,82,84.663,88,0.107
15,82,85.726,90,0.114
16,83,86.853,91,0.115
17,84,88.042,92,0.1
18,86,89.126,92,0.092
19,88,89.947,92,0.082
20,87,90.642,93,0.068
21,88,91.379,93,0.053
22,89,92.058,93,0.042
23,91,92.642,93,0.025
24,92,92.916,93,0.011
25,92,92.958,93,0.003
26,92,92.947,93,0.002
27,92,92.989,93,0.002
28,92,92.984,93,0
29,92,92.974,93,0.001
30,92,92.995,94,0.001
31,92,92.995,94,0.001
32,92,93.026,94,0.001
33,92,93.174,94,0.004
34,92,93.379,94,0.007
35,92,93.795,95,0.012
36,93,93.984,95,0.009
37,93,94.058,95,0.005
38,93,94.221,95,0.005
39,93,94.568,96,0.01
40,94,94.979,96,0.018
41,94,95.321,96,0.019
42,94,95.674,96,0.017
43,95,95.942,96,0.011
44,95,95.968,96,0.002
45,95,95.974,96,0.001
46,95,95.963,96,0.001
47,95,95.974,96,0.001
48,95,95.989,96,0.001
49,95,96,97,0
50,95,96,97,0
51,95,96.037,97,0.002
52,95,96.158,97,0.004
53,94,96.337,98,0.007
54,96,96.732,98,0.015
55,96,97.005,98,0.022
56,96,97.132,98,0.027
57,96,97.479,99,0.028
58,97,97.895,99,0.031
59,97,98.074,99,0.028
60,97,98.289,99,0.026
61,96,98.626,99,0.021
62,98,98.926,99,0.013
63,97,98.968,99,0.003
64,98,98.953,99,0.001
65,98,98.963,99,0.002
66,98,98.979,99,0.001
67,98,98.958,99,0.001
68,98,98.963,99,0.002
69,98,98.984,99,0.001
70,98,98.958,99,0.001
71,99,99,99,0.002
72,98,98.979,99,0
73,97,98.953,99,0.001
74,98,98.984,99,0.002
75,98,98.974,99,0.001
76,98,98.958,99,0.001
77,98,98.984,99,0.002
78,98,98.968,99,0.001
79,98,98.968,99,0.001
80,98,98.968,99,0.001
81,98,98.953,99,0.001
82,98,98.958,99,0.002
83,98,98.974,99,0.002
84,98,98.974,99,0.001
85,98,98.984,99,0.001
86,98,98.989,99,0.001
87,98,98.963,99,0
88,98,98.979,99,0.001
89,98,98.968,99,0.001
90,98,98.979,99,0.001
91,97,98.968,99,0.001
92,98,98.958,99,0.001
93,98,98.984,99,0.002
94,98,98.984,99,0.001
95,98,98.984,99,0.001
96,98,98.984,99,0.001
97,98,98.984,99,0.001
98,98,98.984,99,0.001
99,98,98.979,99,0.001
100,98,98.942,99,0.001
101,98,98.995,99,0.002
102,98,98.968,99,0
103,98,98.995,99,0.001
104,98,98.942,99,0
105,98,98.968,99,0.002
106,98,98.947,99,0.001
107,98,98.968,99,0.002
108,98,98.989,99,0.001
109,98,98.989,99,0
110,98,98.984,99,0
111,98,98.958,99,0.001
112,98,98.968,99,0.002
113,97,98.963,100,0.001
Promedio,"91,482","97,000","94,904","0,000"
